place,title,time,pay,date
서울 용산구,노랑통닭 용산점,15:30~01:30,"월급2,400,000",17분전
서울 광진구,노랑통닭 건대점,16:00~03:00,"월급2,600,000",33분전
서울 광진구,노랑통닭 건대점,16:00~03:00,"월급2,600,000",34분전
서울 광진구,노랑통닭 건대점,16:00~03:00,"월급2,600,000",34분전
인천 미추홀,노랑통닭 인천 주안점,19:00~24:00,"시급8,720",2시간전
인천 미추홀,노랑통닭 인천 주안점,19:00~24:00,"시급8,720",2시간전
경기 의정부,노랑통닭 의정부 회룡역점,17:00~24:00,"시급8,800",2시간전
서울 마포구,노랑통닭 상수점,16:00~22:00,"시급10,000",3시간전
서울 마포구,노랑통닭 아현점,16:00~02:00,"월급2,500,000",3시간전
광주 광산구,노랑통닭 광주 첨단점,21:00~24:00,"시급8,720",3시간전
광주 광산구,노랑통닭 광주 첨단점,21:00~24:00,"시급8,720",3시간전
광주 광산구,노랑통닭 광주 첨단점,21:00~24:00,"시급8,720",3시간전
서울 서대문,노랑통닭 명지대점,17:00~03:00,"월급2,500,000",3시간전
인천 서구,노랑통닭 마전점,14:30~01:00,"월급2,480,000",3시간전
서울 용산구,노랑통닭 용산점,15:30~01:30,"월급2,400,000",3시간전
서울 서대문,노랑통닭 명지대점,17:00~03:00,"월급2,500,000",3시간전
경기 화성시,노랑통닭 화성시청점,18:00~01:00,"시급10,000",4시간전
서울 노원구,노랑통닭 중계점,15:00~02:00,"월급2,600,000",4시간전
서울 강동구,노랑통닭 천호점,17:00~04:00,"월급2,600,000",4시간전
서울 송파구,노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 송파구,노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 송파구,노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 송파구,노랑통닭 잠실새내점,17:00~04:00,"월급2,600,000",4시간전
서울 강서구,노랑통닭 목동사거리점,17:00~22:00,"시급10,000",5시간전
서울 전체,노랑통닭 장안점,18:00~00:00,"시급9,000",5시간전
서울 전체,노랑통닭 장안점,18:00~00:00,"시급9,000",5시간전
서울 전체,노랑통닭 장안점,18:00~00:00,"시급9,000",5시간전
경남 진주시,노랑통닭 진주 초전점,16:00~23:30,"시급8,720",5시간전
서울 마포구,노랑통닭 상수점,16:00~22:00,"시급10,000",6시간전
경기 파주시,노랑통닭 파주 운정2호점,17:30~22:30,"시급10,000",6시간전
경기 파주시,노랑통닭 파주 운정2호점,17:30~22:30,"시급10,000",6시간전
서울 전체,노랑통닭 왕십리점,17:00~24:00,"시급10,000",6시간전
서울 전체,노랑통닭 왕십리점,17:00~24:00,"시급10,000",6시간전
서울 전체,노랑통닭 왕십리점,17:00~24:00,"시급10,000",6시간전
경기 파주시,노랑통닭 파주 운정2호점,17:30~22:30,"시급10,000",6시간전
인천 미추홀,노랑통닭 인천 주안점,19:00~24:00,"시급8,720",6시간전
서울 은평구,노랑통닭 연신내점,16:00~03:00,"월급2,600,000",6시간전
서울 서대문,노랑통닭 신촌점,17:00~22:00,"시급9,500",6시간전
서울 서대문,노랑통닭 신촌점,18:00~22:00,"시급8,720",6시간전
경기 용인시,노랑통닭 기흥구청점,18:00~24:00,"시급8,720",6시간전
