place,title,time,pay,date
경기 성남시,생각대로 위례지사2,10:00~00:30,"건별3,800",6분전
서울 송파구,생각대로 위례지사2,10:00~00:30,"건별3,800",7분전
경기 성남시,생각대로 위례지사2,10:00~00:30,"건별3,800",8분전
경기 안산시,생각대로 안산선부지사,00:00~24:00,"건별3,200",9분전
대구 달서구,생각대로 용산지점,10:30~24:00,"월급3,500,000",11분전
서울 마포구,생각대로 북부직영16점,00:00~24:00,"일급300,000",12분전
서울 마포구,생각대로 북부직영16점,00:00~24:00,"일급300,000",12분전
서울 마포구,생각대로 북부직영16점,00:00~24:00,"일급300,000",12분전
서울 서대문,생각대로 홍제점,10:30~01:00,"시급20,000",13분전
서울 서대문,생각대로 홍제점,10:30~01:00,"시급20,000",13분전
서울 서대문,생각대로 홍제점,10:30~01:00,"시급20,000",13분전
서울 서대문,생각대로 연희점,11:00~03:00,"시급20,000",14분전
서울 서대문,생각대로 연희점,11:00~03:00,"시급20,000",14분전
서울 서대문,생각대로 신촌이대지사,시간협의,"일급300,000",14분전
서울 서대문,생각대로 신촌이대지사,시간협의,"일급300,000",15분전
서울 서대문,생각대로 신촌이대지사,시간협의,"일급300,000",15분전
부산 북구,생각대로 화명2호점,09:00~03:00,"건별3,000",15분전
부산 북구,생각대로 화명2호점,09:00~03:00,"건별3,000",15분전
부산 북구,생각대로 화명2호점,09:00~03:00,"건별3,000",16분전
충남 천안시,생각대로 청당지사,09:00~02:00,"건별3,200",16분전
충남 천안시,생각대로 청당지사,09:00~02:00,"건별3,200",16분전
경기 성남시,생각대로 중앙5,10:00~05:00,"월급6,000,000",19분전
경기 성남시,생각대로 TFC야탑지사,시간협의,"건별4,000",20분전
부산 동래구,생각대로 안락명장2-2호점,11:00~01:00,"일급150,000",23분전
부산 금정구,생각대로 안락명장2-2호점,11:00~01:00,"일급150,000",23분전
부산 동래구,생각대로 안락명장점,11:00~24:00,"일급150,000",23분전
부산 동래구,생각대로 안락명장점,  :  ~  :  ,"일급150,000",23분전
부산 동래구,생각대로 안락명장점,  :  ~  :  ,"일급150,000",23분전
인천 전체,생각대로 송도서부지사,10:00~01:00,"월급5,000,000",25분전
인천 전체,생각대로 송도서부지사,10:00~01:00,"월급5,000,000",25분전
인천 전체,생각대로 송도지사,09:00~01:00,"월급5,000,000",25분전
인천 전체,생각대로 송도지사,09:00~01:00,"월급5,000,000",25분전
광주 광산구,생각대로 광주광산점,09:00~03:00,"일급210,000",26분전
광주 광산구,생각대로 광주광산점,09:00~03:00,"일급200,000",26분전
광주 광산구,생각대로 광주광산점,09:00~03:00,"일급210,000",26분전
경기 광명시,생각대로 광명지사,10:30~01:00,"건별3,800",28분전
경기 성남시,생각대로 판교지사,11:00~24:00,"월급3,500,000",29분전
경기 성남시,생각대로 판교지사,11:00~24:00,"월급3,500,000",30분전
경기 성남시,생각대로 판교지사,11:00~24:00,"월급3,500,000",30분전
대구 달서구,생각대로 용산지점,10:30~24:00,"월급3,500,000",31분전
