place,title,time,pay,date
경기 화성시,(주)신세계엘앤비,13:00~21:00,"일급85,000",2시간전
경기 성남시,(주)신세계엘앤비,13:00~21:00,"일급85,000",2시간전
경기 부천시,(주)신세계엘앤비,13:00~21:00,"일급85,000",2시간전
서울 강남구,(주)신세계엘앤비,12:00~21:00,"일급102,280",2시간전
경기 용인시,(주)신세계엘앤비,13:00~21:00,"일급85,000",2시간전
경기 용인시,(주)신세계엘앤비,11:00~20:00,"일급85,000",6시간전
경기 용인시,(주)신세계엘앤비,11:00~20:00,"일급85,000",6시간전
경기 용인시,(주)신세계엘앤비,11:00~20:00,"일급85,000",6시간전
경기 수원시,(주)신세계엘앤비,11:00~20:00,"일급85,000",6시간전
서울 서초구,(주)신세계엘앤비,12:00~20:00,"일급85,000",8시간전
서울 강남구,(주)신세계엘앤비,12:00~20:00,"일급85,000",8시간전
경기 성남시,(주)신세계엘앤비,13:00~21:00,"일급85,000",01/26
