place,title,time,pay,date
울산 남구,감성커피 달동점,00:00~03:00,"시급10,000",45분전
서울 강남구,인기명 강남점,15:00~22:30,"시급10,000",45분전
경기 오산시,메가엠씨커피오산원동,08:50~13:50,"시급8,720",45분전
경기 오산시,메가엠씨커피오산원동,14:30~17:30,"시급8,720",45분전
광주 북구,북구로드파일럿 문흥지사,시간협의,"건별3,000",45분전
광주 북구,북구로드파일럿 문흥지사,시간협의,"건별3,000",45분전
세종 나성동,곱창이야기 세종나성점,15:00~00:00,"월급2,300,000",2시간전
충남 아산시,베스트잡,09:00~18:00,"시급10,000",2시간전
광주 서구,가성,11:00~15:00,"시급8,720",2시간전
강원 강릉시,라이또PC강릉유천점,23:00~07:00,"시급8,720",2시간전
경기 전체,육회한녀석들 야당점,17:00~22:00,"시급9,000",2시간전
부산 부산진,탑피시 시즌2,22:00~08:00,"시급8,720",2시간전
전국 전체,우리woori parking,08:00~18:00,"연봉31,200,000",3시간전
충남 전체,우리woori parking,08:00~15:00,"시급10,000",3시간전
대구 전체,낙산가든,10:00~22:00,"월급1,822,480",3시간전
서울 강서구,"주시브로스,힘난다 마곡점",09:00~15:00,"월급1,200,000",3시간전
전남 전체,파더스 베이글,08:00~05:00,"시급8,720",3시간전
광주 북구,주식회사 광주배달,09:00~03:00,"건별3,000",3시간전
대구 달서구,바로고대구성서허브,10:00~24:00,"월급3,500,000",3시간전
대구 달서구,바로고대구성서허브,10:00~24:00,"월급3,500,000",3시간전
부산 사하구,아리랑목살,17:00~22:00,"시급8,720",3시간전
대전 서구,SK텔레콤 가수원CGV,09:50~19:50,"월급2,900,000",3시간전
대전 서구,SK텔레콤 가수원CGV,09:50~19:50,"월급2,900,000",3시간전
대전 서구,SK텔레콤 가수원CGV,09:50~19:50,"월급2,900,000",3시간전
울산 중구,용범이네 인계동껍데기 울산성남점,15:00~02:00,"월급2,400,000",3시간전
울산 중구,용범이네 인계동껍데기 울산성남점,15:00~02:00,"월급2,400,000",3시간전
서울 전체,호호방,15:00~02:00,"월급2,500,000",3시간전
광주 광산구,늘품태권도,15:00~20:30,"시급8,720",3시간전
서울 마포구,카페 너와늘,18:00~20:00,"시급8,720",4시간전
서울 마포구,카페 너와늘,18:00~20:00,"시급8,720",4시간전
충북 청주시,피시 태그(PC TAG),08:00~15:00,"시급8,720",4시간전
충북 청주시,샹떼PC방 오창중앙점,시간협의,"시급9,000",4시간전
서울 영등포,닭이네,09:00~14:00,"시급9,000",6시간전
서울 영등포,닭이네,09:00~14:00,"시급9,000",6시간전
광주 북구,피씨뱅크,시간협의,"시급8,720",6시간전
부산 부산진,탑피시 시즌2,08:00~13:00,"시급8,720",6시간전
부산 사하구,아리랑목살,17:00~22:00,"시급8,720",6시간전
경기 용인시,이에스 로지스틱스,07:00~12:30,"시급10,000",6시간전
경기 용인시,이에스 로지스틱스,07:00~12:30,"시급10,000",6시간전
경기 수원시,런(Run),11:00~01:00,"건별3,500",6시간전
