place,title,time,pay,date
전북 전주시,CU 에코KCC스위첸점,20:00~08:00,"시급8,720",1분전
인천 부평구,CU 부평동암2호점,16:00~23:00,"시급8,720",4분전
대구 달서구,CU 성서선원대로점,00:00~08:00,"시급8,720",4분전
대구 달서구,CU 성서선원대로점,00:00~08:00,"시급8,720",4분전
서울 종로구,CU 종각센트로폴리스점,19:00~23:00,"시급8,800",5분전
충남 아산시,CU 아산순천향타운점,17:00~22:00,"시급8,720",5분전
충남 아산시,CU 아산순천향타운점,17:00~22:00,"시급8,720",5분전
광주 남구,CU 광주월산점,14:00~20:00,"시급8,720",5분전
서울 성동구,CU 하왕십리점,10:00~16:00,"시급8,720",6분전
서울 성동구,CU 하왕십리점,10:00~16:00,"시급8,720",6분전
경남 밀양시,CU 밀양미리벌중앙로점,24:00~06:00,"시급8,720",7분전
경남 밀양시,CU 밀양미리벌중앙로점,24:00~06:00,"시급8,720",7분전
서울 노원구,CU 하계노원로점,23:00~08:00,"시급8,720",7분전
경기 하남시,CU 미사점,16:00~23:30,"시급8,720",7분전
서울 강남구,CU 역삼벚꽃길점,08:00~15:00,"시급8,720",7분전
전북 전주시,CU 에코더샵점,21:00~10:00,"시급8,720",7분전
경기 하남시,CU 미사인스타시티점,00:00~07:00,"시급8,720",8분전
충남 당진시,CU 당진석문행복점,16:00~23:00,"시급8,720",9분전
부산 사하구,CU 다대푸르지오점,13:00~22:00,"시급8,720",9분전
충남 당진시,CU 당진석문행복점,21:00~09:00,"시급8,720",10분전
서울 종로구,CU 평창다솜점,14:00~19:00,"시급8,720",10분전
서울 금천구,CU 가산조이점,01:00~07:00,"시급8,720",10분전
서울 종로구,CU 평창다솜점,14:00~19:00,"시급8,720",10분전
세종 고운동,CU 세종가락초교점,17:00~01:00,"시급8,720",10분전
전남 광양시,CU 광양중마중앙점,22:00~08:00,"시급8,720",12분전
경기 수원시,CU 신규점,24:00~07:00,"시급8,720",13분전
경기 고양시,CU 하이파크4단지점,23:00~09:00,"시급8,720",13분전
대구 북구,CU 태전원룸점,00:00~06:00,"시급8,720",14분전
강원 횡성군,CU 횡성청일점,10:00~17:00,"시급8,720",14분전
대구 수성구,CU 대구지산타운점,15:00~22:00,"시급8,720",15분전
경북 구미시,이마트24,24:00~09:00,"시급8,720",15분전
경북 구미시,이마트24,24:00~09:00,"시급8,720",15분전
경기 고양시,CU 하이파크4단지점,23:00~10:00,"시급8,720",16분전
서울 영등포,CU 영신점,23:00~09:00,"시급8,720",17분전
서울 영등포,CU 영신점,23:00~09:00,"시급8,720",17분전
경기 수원시,CU 광교대학로점,15:00~22:00,"시급8,750",17분전
서울 성북구,CU 동선대로점,18:00~23:00,"시급8,720",18분전
충남 부여군,CU 부여동남점,16:00~24:00,"시급8,720",19분전
광주 서구,CU 상무은혜점,시간협의,"시급8,720",19분전
전북 익산시,CU 모현e편한세상점,22:00~06:00,"시급8,720",20분전
