place,title,time,pay,date
경기 고양시,미쏘 신세계백화점스타필드 고양,12:00~21:00,"시급8,720",4분전
서울 강남구,폴더 강남 E스퀘어,12:00~21:00,"시급8,720",58분전
서울 강남구,폴더 강남 E스퀘어,12:00~21:00,"시급8,720",1시간전
대구 중구,미쏘 동성로,13:00~22:00,"시급8,720",1시간전
광주 동구,미쏘 광주 NC,12:00~21:00,"시급8,720",3시간전
서울 성북구,미쏘 성신 유타(복),시간협의,"시급8,720",3시간전
충북 전체,폴더 NC청주,10:00~19:00,"시급8,720",4시간전
서울 강남구,미쏘 신세계백화점코엑스몰점,시간협의,"시급8,720",5시간전
인천 남동구,미쏘 인천 NC,시간협의,"시급8,720",18시간전
충북 전체,폴더 NC청주,10:00~19:00,"시급8,720",02/01
서울 관악구,미쏘 라붐,13:00~22:00,"시급8,720",01/30
서울 송파구,미쏘 송파 NC,13:00~21:00,"시급8,720",01/27
서울 송파구,미쏘 송파 NC,13:00~21:00,"시급8,720",01/24
충북 전체,폴더 NC청주,10:00~19:00,"시급8,720",01/21
충북 전체,폴더 NC청주,10:00~19:00,"시급8,720",01/20
