place,title,time,pay,date
서울 강동구,GS25성내이안점,시간협의,"시급8,720",3분전
서울 마포구,GS25연남경성점,20:00~00:00,"시급8,720",3분전
서울 강남구,GS25강남아트점,시간협의,"시급8,720",3분전
대구 달서구,GS25 성당두류점,07:00~13:00,"시급8,720",7분전
대구 달서구,GS25 성당두류점,07:00~13:00,"시급8,720",7분전
대구 달서구,GS25 성당두류점,07:00~13:00,"시급8,720",7분전
대구 북구,GS25대구역점,시간협의,"시급8,720",9분전
광주 광산구,GS25운남9단지점,23:00~08:00,"시급8,720",10분전
서울 서초구,GS25 서초프랜드점,18:30~21:00,"시급8,800",11분전
경기 평택시,GS25서정스마트점,24:00~08:00,"시급8,720",11분전
광주 서구,GS25상무센트럴점,16:30~22:00,"시급8,720",11분전
서울 강남구,GS25 청담중앙점,20:00~07:00,"시급8,720",12분전
서울 중랑구,GS25면목수성점,19:00~24:00,"시급8,720",13분전
광주 서구,GS25상무센트럴점,22:00~08:00,"시급8,720",14분전
대구 남구,GS25남구용마점,15:00~22:00,"시급8,720",14분전
서울 성동구,GS25성수SKV1점,17:00~23:00,"시급8,720",15분전
경기 이천시,GS25하이닉스호텔점,00:00~07:00,"시급8,720",16분전
경북 예천군,GS25예천으뜸점,16:00~22:00,"시급8,720",16분전
대구 달서구,GS25성서제일점,22:00~08:00,"시급8,720",16분전
서울 강남구,GS25역삼아르누보점,22:00~08:00,"시급9,100",17분전
서울 강남구,GS25강남아트점,시간협의,"시급8,720",18분전
인천 전체,GS25뉴상동디아뜨점,18:00~23:00,"시급8,720",18분전
경기 부천시,GS25부천대로점,23:00~08:00,"시급8,720",19분전
경기 부천시,GS25부천대로점,23:00~08:00,"시급8,720",19분전
서울 양천구,GS25목동시장점,시간협의,"시급9,000",19분전
강원 고성군,GS25고성율곡부대점,시간협의,"시급8,720",19분전
서울 강남구,GS25강남아트점,시간협의,"시급8,720",19분전
대전 유성구,GS25유성봉명점,시간협의,"시급8,720",20분전
경기 성남시,GS25성남광명로점,시간협의,"시급8,720",20분전
서울 강남구,GS25강남아트점,시간협의,"시급8,720",21분전
광주 북구,GS25전대GS점,20:30~00:30,"시급8,720",21분전
경기 평택시,GS25평택캐슬점,15:00~22:00,"시급8,720",21분전
대구 수성구,GS25수성삼정그린점,22:00~07:00,"시급8,720",21분전
대전 유성구,GS25죽동예미지점,21:00~07:30,"시급8,720",22분전
경기 성남시,GS25성남은행시장점,21:00~09:00,"시급8,720",22분전
경기 부천시,GS25뉴상동디아뜨점,18:00~23:00,"시급8,720",22분전
경북 경산시,GS25옥곡동화점,11:00~07:30,"시급8,720",24분전
전북 정읍시,GS25수성뉴타운점,02:00~08:30,"시급8,720",24분전
서울 서초구,GS25양재공원점,17:00~22:00,"시급8,720",24분전
경기 안양시,GS25일번가점,23:00~07:00,"시급8,720",24분전
