place,title,time,pay,date
인천 부평구,삼성세차장(손세차장),08:00~18:00,"월급2,300,000",3시간전
서울 마포구,양지세차장,08:00~18:00,"월급2,300,000",3시간전
경기 시흥시,명성주유소,시간협의,"월급2,350,000",4시간전
서울 송파구,한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,300,000",4시간전
서울 송파구,한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,300,000",4시간전
서울 송파구,한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,300,000",4시간전
서울 송파구,한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,300,000",4시간전
서울 송파구,한강에너지(주)퍼스트셀프주유소,10:00~20:00,"월급2,300,000",4시간전
서울 종로구,안풍주유소,시간협의,"시급8,720",6시간전
서울 종로구,안풍주유소,시간협의,"시급8,720",6시간전
서울 종로구,안풍주유소,시간협의,"시급8,720",6시간전
서울 종로구,안풍주유소,시간협의,"시급8,720",6시간전
대전 유성구,SK에너지 황제주유소,시간협의,"시급8,720",02/01
경북 상주시,SK에너지 경천주유소,08:30~19:00,"월급2,300,000",02/01
인천 부평구,삼성세차장(손세차장),08:00~18:00,"월급2,300,000",02/01
서울 마포구,양지세차장,08:00~18:00,"월급2,300,000",02/01
경기 의왕시,에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,300,000",02/01
경기 의왕시,에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,300,000",02/01
경기 연천군,SK에너지 통일주유소,시간협의,"월급2,100,000",02/01
경기 시흥시,명성주유소,05:00~14:00,"월급2,350,000",02/01
경기 의왕시,에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,300,000",01/31
경기 의왕시,에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,300,000",01/31
광주 광산구,태양주유소,09:00~17:00,"시급8,720",01/31
서울 강서구,SK개화주유소,09:00~18:00,"월급2,150,000",01/31
대구 동구,국제주유소,10:00~18:00,"시급8,720",01/31
경기 용인시,수지충전소,09:00~17:00,"월급1,900,000",01/30
대전 전체,(주)하늘셀프주유소,09:00~17:30,"시급8,720",01/30
서울 마포구,(주)안국에너지 망원동주유소,10:30~19:00,"시급8,720",01/30
경기 안산시,(주)대한석유한대역주유소,23:00~09:00,"월급3,000,000",01/30
경기 시흥시,명성주유소,05:00~14:00,"월급2,350,000",01/30
서울 마포구,(주)안국에너지 망원동주유소,10:30~19:00,"시급8,720",01/29
경기 안산시,(주)대한석유한대역주유소,13:00~23:00,"월급2,700,000",01/29
경기 시흥시,명성주유소,05:00~14:00,"월급2,350,000",01/29
광주 북구,일곡제일주유소,10:00~18:00,"시급8,720",01/28
경기 포천시,(주)태봉에너지,11:00~19:30,"시급8,720",01/28
서울 동대문,삼영주유소,10:00~17:00,"시급8,720",01/28
서울 마포구,(주)안국에너지 망원동주유소,10:30~19:00,"시급8,720",01/28
경기 성남시,한강에너지 (주),09:00~19:00,"월급2,300,000",01/28
경기 성남시,한강에너지 (주),09:00~19:00,"월급2,300,000",01/28
경기 안산시,(주)대한석유한대역주유소,23:00~09:00,"일급120,000",01/28
