place,title,time,pay,date
경기 하남시,[이마트] 스타필드하남 TOY 전문점,10:00~21:00,"시급9,990",11분전
경기 하남시,[이마트] 스타필드하남 TOY 전문점,10:00~21:00,"시급9,990",54분전
충남 아산시,(주)이마트트레이더스천안아산점,00:00~23:00,"시급9,990",2시간전
서울 노원구,(주)이마트 트레이더스 월계점,07:00~15:00,"시급9,990",3시간전
경기 군포시,이마트 트레이더스 군포점,06:00~23:00,"시급9,990",4시간전
충남 아산시,(주)이마트트레이더스천안아산점,00:00~23:00,"시급9,990",15시간전
부산 강서구,스타필드 명지점 토이킹덤,10:00~22:00,"시급9,990",19시간전
경기 군포시,이마트 트레이더스 군포점,09:00~23:00,"시급9,990",02/02
세종 가람동,이마트 세종점,07:00~23:00,"시급10,940",01/31
경기 하남시,트레이더스 하남점,06:00~23:00,"시급10,940",01/30
경기 성남시,(주)이마트 분당점,10:00~23:00,"시급8,800",01/30
경기 용인시,(주)이마트,06:00~14:00,"시급9,990",01/30
대전 서구,이마트 트레이더스 월평점,06:00~00:00,"시급9,990",01/26
경기 하남시,[이마트] 스타필드하남 TOY 전문점,10:00~21:00,"시급9,990",01/26
경기 하남시,트레이더스 하남점,06:00~23:00,"시급10,940",01/25
경기 수원시,이마트 광교점,09:00~17:00,"시급8,800",01/23
충남 천안시,(주)이마트천안서북점,09:00~17:00,"시급8,800",01/20
경기 하남시,트레이더스 하남점,06:00~23:00,"시급10,940",01/19
경북 포항시,(주)이마트 포항이동점,07:00~23:00,"시급8,800",01/18
경기 여주시,이마트 여주점,09:00~23:00,"시급9,130",01/18
경기 성남시,(주)이마트 분당점,10:00~23:00,"시급8,800",01/18
