place,title,time,pay,date
경기 양주시,이마트에브리데이 양주옥정점,16:30~23:00,"월급1,709,120",49분전
경기 양주시,이마트에브리데이 양주옥정점,13:00~19:30,"월급1,595,760",50분전
경기 양주시,이마트에브리데이 양주옥정점,09:00~15:30,"월급1,595,760",52분전
세종 종촌동,이마트에브리데이 세종종촌점,09:00~15:30,"월급1,595,760",57분전
서울 서초구,이마트에브리데이 우면점,14:30~21:00,"월급1,595,760",02/02
서울 서초구,이마트에브리데이 우면점,09:00~15:30,"월급1,595,760",02/02
경기 남양주,이마트에브리데이 별내점,14:30~21:00,"월급1,595,760",01/31
경기 화성시,이마트에브리데이 동탄호수점,14:30~21:00,"월급1,595,760",01/29
경기 용인시,이마트에브리데이 기흥점,09:00~15:30,"월급1,595,760",01/29
경기 성남시,이마트에브리데이 이매동점,09:00~15:30,"월급1,595,760",01/29
서울 동작구,이마트에브리데이 대방동점,15:30~22:00,"월급1,595,760",01/26
서울 동작구,이마트에브리데이 대방동점,09:00~15:30,"월급1,595,760",01/26
경기 광주시,이마트에브리데이 오포신현점,09:00~15:30,"월급1,595,760",01/26
경기 화성시,이마트에브리데이 동탄호수점,14:00~20:30,"월급1,595,760",01/25
서울 강동구,이마트에브리데이 고덕강일점,16:30~23:00,"월급1,709,120",01/21
충남 천안시,이마트에브리데이 북천안점,15:30~22:00,"월급1,595,760",01/19
