place,title,time,pay,date
전북 익산시,크라운호프 익산모현2호점,18:00~02:00,"시급9,000",57분전
경기 부천시,크라운호프 부천원종,16:00~04:00,"월급2,724,825",1시간전
인천 부평구,크라운호프 삼산점,시간협의,"시급9,000",2시간전
인천 남동구,크라운호프 소래포구역점,16:30~03:00,"월급2,500,000",3시간전
대구 동구,크라운호프 이시아폴리스점,18:00~12:00,"시급9,000",7시간전
울산 중구,크라운호프 우정혁신점,18:00~01:00,"시급8,720",7시간전
부산 남구,크라운호프 부산용호자이,17:00~02:00,"월급2,100,000",17시간전
인천 부평구,크라운호프 삼산점,16:00~02:00,"월급2,500,000",02/02
전남 목포시,크라운호프 무안남악점,17:00~22:00,"시급9,000",02/01
인천 부평구,크라운호프 인천백운역,21:00~02:00,"시급9,000",02/01
전북 전주시,크라운호프 전주호성점,15:30~02:00,"월급2,400,000",02/01
전북 전주시,크라운호프 전주호성점,15:30~02:00,"월급2,400,000",02/01
경남 김해시,크라운호프 김해주촌,시간협의,"월급2,000,000",02/01
전북 전주시,크라운호프 전주호성점,15:30~02:00,"월급2,400,000",01/31
서울 강서구,크라운호프 발산마곡점,20:30~03:30,"시급10,000",01/31
경남 양산시,금복주류 양산서창점,17:00~23:00,"시급8,720",01/30
전북 김제시,크라운호프 전북김제점,시간협의,"월급2,000,000",01/30
경기 수원시,크라운호프 수원성대점,17:00~02:00,"월급1,900,000",01/30
인천 서구,금복주류 인천청라점,시간협의,"시급9,000",01/29
경남 김해시,크라운호프 김해진영점,17:00~21:30,"시급8,720",01/27
서울 강서구,크라운호프 발산마곡점,20:30~03:30,"시급10,000",01/27
서울 강서구,크라운호프 발산마곡점,17:00~02:00,"월급2,340,000",01/27
서울 강서구,크라운호프 발산마곡점,17:00~02:00,"월급2,340,000",01/27
경북 구미시,크라운호프 구미문성점,17:00~24:00,"시급9,000",01/27
경남 김해시,크라운호프 김해삼계점,17:00~03:00,"시급9,000",01/25
경남 김해시,크라운호프 김해삼계점,17:00~03:00,"시급9,000",01/25
인천 부평구,크라운호프 삼산점,시간협의,"시급9,000",01/21
인천 부평구,크라운호프 삼산점,16:00~02:00,"월급2,500,000",01/21
인천 연수구,크라운호프 송도캠퍼스타운점,17:00~02:00,"월급2,200,000",01/19
인천 연수구,크라운호프 송도캠퍼스타운점,17:00~02:00,"월급2,100,000",01/18
경기 안성시,경성주막1929 안성공도,20:00~03:00,"시급9,000",01/18
경기 안성시,경성주막1929 안성공도,20:00~03:00,"시급9,000",01/18
