place,title,time,pay,date
대구 남구,교촌치킨 앞산,18:00~24:00,"시급8,720",5분전
경기 의왕시,교촌치킨 경기 포일내손,18:00~24:00,"시급12,000",9분전
인천 미추홀,교촌치킨 인천 도화점,시간협의,"시급10,500",13분전
전북 전주시,교촌치킨 전주 신시가지,18:00~01:00,"시급9,500",27분전
경기 화성시,교촌치킨 화성직영매장,15:00~22:00,"시급8,720",32분전
경기 하남시,교촌치킨 미사1호,13:00~01:00,"월급2,800,000",36분전
경기 의왕시,교촌치킨 경기 포일내손,18:00~24:00,"시급12,000",37분전
경기 의왕시,교촌치킨 경기 포일내손,18:00~23:00,"시급9,000",38분전
서울 강서구,교촌치킨 서울 화곡1호,17:00~24:00,"시급11,000",47분전
서울 강서구,교촌치킨 서울 화곡1호,17:00~24:00,"시급11,000",47분전
서울 양천구,교촌치킨 서울 화곡1호,17:00~24:00,"시급11,000",47분전
서울 마포구,교촌치킨 서울 홍대,14:00~02:00,"월급3,200,000",48분전
서울 마포구,교촌치킨 서울 아현점,12:00~24:00,"월급3,200,008",49분전
서울 마포구,교촌치킨 서울 아현점,12:00~24:00,"월급3,200,008",49분전
전북 익산시,교촌치킨 함열,18:00~23:00,"월급1,200,000",56분전
경기 화성시,교촌치킨 향남2지구,17:30~22:00,"시급9,500",57분전
충북 제천시,교촌치킨 청전,17:30~00:00,"시급8,720",1시간전
경기 고양시,교촌치킨 행신역점,17:00~23:30,"시급9,000",1시간전
서울 양천구,교촌치킨 서울 화곡1호,17:00~24:00,"시급11,000",1시간전
서울 강서구,교촌치킨 서울 화곡1호,17:00~24:00,"시급11,000",1시간전
인천 동구,교촌치킨 송현,18:00~24:00,"시급10,500",1시간전
광주 광산구,교촌치킨 광주 첨단2호,17:00~24:00,"시급10,500",2시간전
경기 화성시,교촌치킨 화성 동탄1호,17:00~24:00,"월급2,000,000",2시간전
광주 광산구,교촌치킨 광주 첨단2호,18:00~24:00,"시급10,500",2시간전
서울 양천구,교촌치킨 서울서부 목3동점,12:00~24:00,"시급10,500",2시간전
경기 화성시,교촌치킨 경기남부 동탄1능동점,시간협의,"월급2,500,000",2시간전
서울 강남구,교촌치킨 일원1동점,12:00~24:00,"월급2,700,000",2시간전
경기 광주시,교촌치킨 신현점,18:00~24:00,"시급10,500",2시간전
전북 군산시,교촌치킨 군산 구암조촌,18:00~23:00,"시급9,000",2시간전
경기 수원시,교촌치킨 병점1호,16:00~24:00,"시급12,000",2시간전
경기 오산시,교촌치킨 병점1호,16:00~24:00,"시급12,000",2시간전
경기 화성시,교촌치킨 병점1호,16:00~24:00,"시급12,000",2시간전
경기 시흥시,교촌치킨 은계,18:00~24:00,"시급8,720",2시간전
대구 북구,교촌치킨 대구동부 연경점,17:00~24:00,"시급9,000",2시간전
인천 서구,교촌치킨 가정루원시티점,17:00~24:00,"시급12,000",2시간전
대구 동구,교촌치킨 대구중부 신천1호점,시간협의,"시급9,500",2시간전
경기 파주시,교촌치킨 파주 금촌로데오,19:00~24:00,"시급11,000",2시간전
경기 파주시,교촌치킨 파주 금촌로데오,19:00~24:00,"시급11,000",2시간전
인천 서구,교촌치킨 가정루원시티점,17:00~24:00,"시급12,000",2시간전
경기 파주시,교촌치킨 파주 금촌로데오,17:00~24:00,"시급11,000",2시간전
