place,title,time,pay,date
충남 서산시,롯데리아 서산해미점,10:30~19:30,"시급8,720",4분전
서울 금천구,롯데리아 홈플러스금천점,18:00~22:30,"시급8,720",4분전
충남 당진시,롯데리아 송악점,시간협의,"시급8,720",24분전
충남 당진시,롯데리아 송악점,시간협의,"월급1,900,000",24분전
경기 용인시,롯데리아 신갈점,08:30~16:30,"월급1,830,000",28분전
경기 용인시,롯데리아 신갈점,17:30~22:30,"시급8,720",34분전
경기 용인시,롯데리아 용인동백,10:00~15:00,"시급8,720",37분전
경기 용인시,롯데리아 용인동백,10:00~15:00,"시급8,720",38분전
서울 강서구,롯데리아 롯데몰김포공항점,시간협의,"시급8,720",38분전
부산 부산진,롯데리아 부산점포점,시간협의,"시급8,720",40분전
경기 광주시,롯데리아 광주태전점,09:00~23:00,"시급8,720",49분전
경기 김포시,롯데리아 롯데마트 김포한강점,시간협의,"시급8,720",56분전
경기 김포시,롯데리아 롯데마트 김포한강점,시간협의,"월급2,000,000",56분전
인천 미추홀,롯데리아 인천용현점,시간협의,"시급8,720",57분전
경기 광주시,롯데리아 광주태전점,09:00~23:00,"시급8,720",57분전
인천 남동구,롯데리아 홈플러스구월점,11:00~21:00,"시급8,720",1시간전
부산 연제구,롯데리아 부산토곡점,시간협의,"시급8,720",1시간전
부산 연제구,롯데리아 부산토곡점,시간협의,"시급8,720",1시간전
경기 수원시,롯데리아 수원권선점,09:00~18:00,"시급10,000",1시간전
경기 수원시,롯데리아 수원권선점,09:00~18:00,"시급10,000",1시간전
경기 수원시,롯데리아 수원권선점,09:00~18:00,"시급10,000",1시간전
경기 수원시,롯데리아 수원권선점,08:00~18:00,"월급2,000,000",1시간전
부산 연제구,롯데리아 부산토곡점,시간협의,"시급8,720",1시간전
경북 포항시,롯데리아 포항죽도점,01:00~08:30,"시급8,720",1시간전
경기 안산시,롯데리아 안산D/T점,24:00~08:00,"시급8,720",1시간전
서울 광진구,롯데리아 구의점,07:00~20:00,"시급8,720",1시간전
경기 안산시,롯데리아 안산D/T점,24:00~08:00,"시급8,720",1시간전
경기 안산시,롯데리아 안산D/T점,24:00~08:00,"시급8,720",1시간전
경기 안산시,롯데리아 안산D/T점,24:00~08:00,"시급8,720",1시간전
충북 청주시,롯데리아 오창2산단점,14:00~22:00,"월급2,000,000",1시간전
서울 광진구,롯데리아 구의점,07:00~20:00,"시급8,720",1시간전
서울 광진구,롯데리아 구의점,07:00~20:00,"시급8,720",2시간전
서울 은평구,롯데리아 DMC항동점,시간협의,"시급8,590",2시간전
경기 고양시,롯데리아 DMC항동점,시간협의,"시급8,590",2시간전
서울 관악구,롯데리아 신림역점,15:00~23:00,"시급8,720",2시간전
경북 문경시,롯데리아 점촌점,시간협의,"시급8,720",2시간전
서울 전체,롯데리아 본사,09:00~17:00,"시급8,720",2시간전
부산 사상구,롯데리아 부산신모라점,19:00~23:00,"시급8,720",2시간전
경기 광주시,롯데리아 광주태전점,09:00~23:00,"시급8,720",2시간전
경남 진주시,롯데리아 진주금산점,18:00~22:00,"시급8,720",2시간전
