place,title,time,pay,date
인천 연수구,마왕족발 인천연수점(직영),15:00~01:00,"월급2,360,000",6시간전
경기 부천시,마왕족발 부천점(본점직영),20:00~01:00,"일급65,400",6시간전
서울 동작구,마왕족발 상도역점,17:30~22:30,"시급8,720",02/01
경기 하남시,마왕족발 하남미사점,15:00~24:00,"월급2,300,000",01/31
경기 파주시,마왕족발 파주금릉역점,17:00~01:00,"시급9,100",01/31
경기 파주시,마왕족발 파주금릉역점,17:00~01:00,"시급9,100",01/31
경기 부천시,마왕족발 부천점(본점직영),11:00~20:00,"월급2,290,000",01/31
경기 파주시,마왕족발 파주금릉역점,17:00~01:00,"시급9,100",01/29
경기 성남시,마왕족발 판교점(직영),15:00~24:00,"월급2,300,000",01/26
경기 성남시,마왕족발 판교점(직영),15:00~24:00,"월급2,300,000",01/26
경기 하남시,마왕족발 하남미사점,15:00~24:00,"월급2,300,000",01/26
서울 금천구,마왕족발 독산점,11:00~16:00,"시급9,000",01/26
