place,title,time,pay,date
경기 성남시,매머드커피 판교제2테크노벨리점,12:00~19:00,"시급8,720",12분전
서울 영등포,매머드커피 여의도증권가,06:30~13:30,"시급10,464",13분전
서울 영등포,매머드커피 여의도증권가,12:00~19:00,"시급10,464",32분전
경기 성남시,매머드커피 판교,07:30~13:00,"시급10,500",2시간전
경기 성남시,매머드커피 판교,07:30~13:00,"시급10,500",4시간전
경기 성남시,매머드커피 판교제2테크노벨리점,12:00~19:00,"시급8,720",7시간전
서울 강남구,매머드커피 선정릉,12:00~15:00,"시급10,500",7시간전
경기 성남시,매머드커피 판교,07:30~13:00,"시급10,500",8시간전
서울 마포구,매머드커피 상암 DDMC,08:00~14:00,"시급8,720",13시간전
서울 강남구,매머드커피 선정릉,12:00~15:00,"시급10,500",02/01
서울 강남구,매머드커피 선정릉,07:30~10:30,"시급10,500",02/01
서울 강남구,매머드커피 선정릉,09:00~12:00,"시급10,500",01/31
경기 성남시,매머드커피 판교제2테크노벨리점,12:00~19:00,"시급8,720",01/29
서울 영등포,매머드커피 여의도증권가,06:30~13:30,"시급10,464",01/29
서울 종로구,매머드커피 효제동,07:00~14:00,"시급8,720",01/26
서울 종로구,매머드커피 종로5가,07:00~14:00,"시급8,720",01/26
