place,title,time,pay,date
인천 계양구,더본코리아 새마을식당 계양구청점,10:00~22:00,"월급2,800,000",3분전
인천 계양구,더본코리아 새마을식당 계양구청점,10:00~22:00,"월급2,800,000",5분전
서울 노원구,홍콩반점0410 상봉역점,10:00~10:00,"월급2,300,000",10분전
부산 부산진,더본코리아 홍콩반점0410 부산양정역,10:00~21:00,"월급2,400,000",12분전
경남 진주시,더본코리아 홍콩반점0410 진주시청점,10:00~21:00,"월급2,500,000",15분전
경남 진주시,더본코리아 홍콩반점0410 진주시청점,10:00~21:00,"월급2,500,000",16분전
경남 진주시,더본코리아 홍콩반점0410 진주시청점,10:00~21:00,"월급2,500,000",16분전
경기 시흥시,홍콩반점0410 시흥은계점,10:00~22:00,"월급2,400,000",17분전
경남 진주시,더본코리아 홍콩반점0410 진주시청점,10:00~21:00,"월급2,500,000",18분전
서울 영등포,더본코리아 홍콩반점0410 당산역점,10:00~22:00,"월급2,600,000",18분전
서울 노원구,역전우동0410 중계은행사거리점,16:00~22:00,"시급8,800",22분전
서울 용산구,더본코리아 홍콩반점0410 한남점,10:00~22:00,"월급2,700,000",24분전
충북 청주시,더본코리아 한신포차 청주용암점,16:00~04:00,"월급2,550,000",25분전
부산 북구,롤링파스타 부산화명역점,10:30~21:00,"시급8,720",25분전
광주 광산구,더본코리아 새마을식당 광주수완점,시간협의,"시급8,720",27분전
경기 광명시,더본코리아 홍콩반점0410 광명철산점,10:30~14:00,"시급8,720",29분전
서울 송파구,더본코리아 홍콩반점0410 문정역테라,09:30~21:30,"월급2,850,000",34분전
광주 광산구,더본코리아 롤링파스타 광주수완점,10:00~21:00,"시급8,720",37분전
대전 유성구,더본코리아 역전우동0410 충남대점,17:00~22:00,"시급8,720",42분전
부산 해운대,더본코리아 홍콩반점0410 해운대역점,11:00~15:00,"시급8,720",47분전
서울 마포구,더본코리아 홍콩반점0410 홍대2호점,10:00~22:00,"월급2,600,000",49분전
부산 해운대,더본코리아 홍콩반점0410 해운대역점,11:00~21:30,"월급1,363,000",50분전
인천 부평구,더본코리아 한신포차 인천삼산점,시간협의,"월급2,300,000",50분전
인천 부평구,더본코리아 한신포차 인천삼산점,시간협의,"월급2,300,000",51분전
서울 전체,홍콩반점0410 삼양사거리점,09:30~21:30,"월급2,735,800",58분전
경기 성남시,홍콩반점0410 모란시장점,10:00~22:00,"월급2,800,000",58분전
경기 수원시,더본코리아 홍콩반점0410 수원역점,17:00~22:00,"시급8,720",1시간전
부산 사하구,홍콩반점0410 부산하단역점,11:00~21:30,"월급2,350,000",1시간전
울산 전체,더본코리아 역전우동0410 울산달동삼,16:30~21:00,"시급8,720",1시간전
경남 양산시,홍콩반점0410 양산역점,10:00~21:30,"월급2,400,000",1시간전
울산 전체,더본코리아 새마을식당 울산삼산점,12:00~23:00,"월급2,550,000",1시간전
서울 노원구,더본코리아 롤링파스타 이마트월계점,11:00~15:00,"시급8,800",1시간전
부산 해운대,새마을식당 부산장산점,10:00~22:00,"월급2,400,000",1시간전
울산 동구,더본코리아 홍콩반점0410 울산일산점,10:00~22:00,"월급2,400,000",1시간전
부산 해운대,새마을식당 부산장산점,10:00~22:00,"월급2,300,000",1시간전
경기 수원시,인생설렁탕 수원인계점,10:00~22:00,"월급2,600,000",1시간전
부산 부산진,롤링파스타 부산서면점,14:00~18:00,"시급8,720",1시간전
울산 동구,더본코리아 홍콩반점0410 울산일산점,10:00~22:00,"월급2,500,000",1시간전
서울 영등포,더본코리아 홍콩반점0410 당산역점,10:00~22:00,"월급2,600,000",1시간전
서울 강서구,더본코리아 홍콩반점0410 발산역점,10:00~22:00,"시급8,720",1시간전
