place,title,time,pay,date
경기 고양시,일산화정오일뱅크점,19:00~22:00,"시급8,720",1분전
경기 용인시,용인신갈점,15:00~20:00,"시급8,720",6분전
경북 포항시,버거킹 포항철강단지SK점,시간협의,"시급8,720",8분전
경남 김해시,버거킹 김해내외점,시간협의,"시급8,720",9분전
부산 해운대,버거킹 부산센텀오일뱅크점,시간협의,"시급8,720",12분전
부산 남구,버거킹 부산대연GS점,시간협의,"시급8,720",13분전
경남 창원시,경남대점(S),09:00~22:00,"시급8,720",19분전
경기 평택시,버거킹 평택죽백DT점,08:00~24:00,"시급8,720",19분전
광주 광산구,버거킹 광주수완DT점,시간협의,"시급8,720",24분전
부산 기장군,버거킹 부산정관DT점,시간협의,"시급8,720",29분전
부산 기장군,버거킹 부산정관DT점,시간협의,"시급8,720",30분전
부산 기장군,버거킹 부산정관DT점,19:00~23:30,"시급8,720",32분전
경남 김해시,버거킹 동김해DT점,08:00~24:00,"시급8,720",33분전
경남 김해시,버거킹 동김해DT점,08:00~24:00,"시급8,720",34분전
경기 성남시,버거킹 분당야탑점,18:00~01:00,"시급8,720",34분전
경북 구미시,버거킹 구미시청FS점,18:00~00:30,"시급8,720",50분전
대구 수성구,버거킹 대구지산점(S),시간협의,"월급2,000,000",52분전
세종 전체,버거킹 세종고운점,08:00~24:00,"시급8,720",52분전
강원 강릉시,강릉교동SK점,시간협의,"시급8,720",1시간전
충남 서산시,버거킹 서산호수공원점(S),08:30~23:00,"시급8,720",1시간전
충남 서산시,버거킹 서산호수공원점(S),08:30~23:00,"시급8,720",1시간전
서울 금천구,버거킹 가산디지털점,16:00~23:00,"시급8,720",1시간전
서울 금천구,버거킹 가산디지털점,16:00~23:00,"시급8,720",1시간전
서울 강남구,버거킹 대치점,01:00~00:00,"시급8,720",1시간전
경남 김해시,버거킹 김해내외점,시간협의,"시급8,720",1시간전
경기 평택시,버거킹 평택죽백DT점,08:00~24:00,"시급8,720",1시간전
경기 평택시,버거킹 평택죽백DT점,08:00~24:00,"시급8,720",1시간전
전남 광양시,광양중동점(S),17:00~22:30,"시급8,720",1시간전
전남 목포시,버거킹 목포하당점,시간협의,"시급8,720",1시간전
강원 강릉시,강릉교동SK점,시간협의,"시급8,720",2시간전
서울 전체,버거킹 충무로역점,18:30~01:30,"시급8,720",2시간전
서울 강서구,버거킹 내발산점,18:00~24:00,"시급8,720",2시간전
서울 강남구,버거킹 청담점,08:00~15:00,"시급8,720",2시간전
서울 강서구,버거킹 내발산점,18:00~24:00,"시급8,720",2시간전
서울 강남구,버거킹 청담점,09:30~14:30,"시급8,720",2시간전
서울 강서구,버거킹 내발산점,18:00~24:00,"시급8,720",2시간전
서울 영등포,버거킹 신길점,시간협의,"시급8,720",2시간전
경남 사천시,버거킹 경남사천점(S),21:00~23:00,"시급8,720",2시간전
서울 영등포,버거킹 신길점,시간협의,"시급8,720",2시간전
경기 성남시,버거킹 분당야탑점,21:00~01:00,"시급8,720",2시간전
