place,title,time,pay,date
서울 성북구,성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",51분전
서울 강북구,성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",52분전
서울 성북구,성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",53분전
서울 전체,성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",1시간전
충남 당진시,성원아이북랜드 아산영업본부,13:00~20:00,"건별20,000",2시간전
충남 당진시,성원아이북랜드 아산영업본부,14:00~20:00,"건별20,000",2시간전
충남 당진시,성원아이북랜드 아산영업본부,13:00~20:00,"건별20,000",2시간전
충남 아산시,성원아이북랜드 아산영업본부,14:00~19:00,"건별20,000",2시간전
경기 광명시,성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",2시간전
서울 구로구,성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",2시간전
서울 금천구,성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",2시간전
서울 전체,성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",2시간전
대구 북구,성원아이북랜드 대구서북부영업본부,14:00~20:00,"건별35,000",2시간전
인천 연수구,성원아이북랜드 인천남동연수영업본부,14:00~19:00,"월급1,000,000",2시간전
대구 달서구,성원아이북랜드 대구달서달성영업본부,10:00~20:00,"월급800,000",2시간전
대구 남구,성원아이북랜드 대구달서달성영업본부,10:00~19:00,"월급900,000",2시간전
인천 연수구,성원아이북랜드 인천남동연수영업본부,15:00~20:00,"건별38,000",2시간전
대구 남구,성원아이북랜드 대구달서달성영업본부,10:00~20:00,"건별35,000",2시간전
대구 동구,성원아이북랜드 대구동부시지영업본부,시간협의,"건별35,000",2시간전
대구 동구,성원아이북랜드 대구동부시지영업본부,14:00~20:00,"건별35,000",2시간전
대전 서구,성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급10,000",2시간전
대전 서구,성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급10,000",2시간전
대전 서구,성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급10,000",2시간전
대전 서구,성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급10,000",3시간전
서울 전체,성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",3시간전
서울 송파구,성원아이북랜드 송파영업본부,14:00~20:00,"월급1,000,000",3시간전
서울 마포구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"건별35,000",3시간전
서울 서대문,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,500,000",3시간전
서울 은평구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,000,000",3시간전
서울 은평구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,200,000",3시간전
서울 송파구,성원아이북랜드 송파영업본부,14:00~20:00,"월급1,000,000",3시간전
서울 마포구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"건별35,000",3시간전
충북 청주시,성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",4시간전
충북 청주시,성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",4시간전
충북 청주시,성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",4시간전
대구 수성구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",4시간전
대구 동구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별30,000",4시간전
대구 수성구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",4시간전
대구 수성구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별30,000",4시간전
경기 수원시,성원아이북랜드 수원영업본부,시간협의,"건별600,000",4시간전
