place,title,time,pay,date
제주 전체,스타벅스커피 코리아 제주신화월드,07:00~22:00,"시급9,000",9분전
광주 북구,스타벅스커피 코리아 광주용두DT점,06:30~00:00,"시급9,000",29분전
광주 북구,스타벅스커피 코리아 광주연제DT,06:00~24:00,"시급9,000",29분전
경기 안산시,스타벅스커피 코리아 고잔이마트점,09:00~23:00,"시급8,800",33분전
경기 이천시,스타벅스커피 코리아 이천증포DT,06:30~24:00,"시급9,000",37분전
경기 여주시,스타벅스커피 코리아 여주DT,07:00~22:00,"시급9,000",44분전
대전 동구,스타벅스커피 코리아 대전터미널DT,06:30~23:00,"시급9,000",46분전
경기 여주시,스타벅스커피 코리아 여주DT,07:00~22:00,"시급9,000",49분전
경기 평택시,스타벅스커피 코리아 평택안중DT,06:30~23:30,"시급9,000",57분전
전남 순천시,스타벅스커피 코리아 순천용당DT,시간협의,"시급9,000",1시간전
광주 동구,스타벅스커피 코리아 광주지원DT,00:00~24:00,"시급9,000",1시간전
세종 전체,스타벅스커피 코리아 세종소담,06:00~23:00,"시급9,000",1시간전
세종 전체,스타벅스커피 코리아 세종보람,07:00~23:00,"시급9,000",1시간전
세종 다정동,세종다정DT,06:00~23:00,"시급9,000",1시간전
전남 여수시,스타벅스커피 코리아 여수여서점,08:00~23:00,"시급9,000",1시간전
경기 용인시,스타벅스커피 코리아 용인동백DT점,05:30~24:00,"시급9,000",2시간전
제주 서귀포,스타벅스커피 코리아 서귀포DT점,06:30~24:00,"시급9,000",2시간전
대전 유성구,스타벅스커피 코리아 대전유성점,08:00~23:00,"시급9,000",2시간전
대전 중구,스타벅스커피 코리아 대전유천DT점,06:00~23:00,"시급9,000",2시간전
제주 전체,스타벅스커피 코리아 제주신화월드,07:00~22:00,"시급9,000",2시간전
세종 전체,스타벅스커피 코리아 세종보람,07:00~23:00,"시급9,000",2시간전
경기 용인시,스타벅스커피 코리아 용인보정DT,07:00~23:00,"시급9,000",2시간전
세종 전체,스타벅스커피 코리아 세종새롬,시간협의,"시급9,000",3시간전
세종 전체,스타벅스커피 코리아 세종새롬,시간협의,"시급9,000",3시간전
제주 전체,제주협재,08:30~21:00,"시급9,000",3시간전
대전 전체,스타벅스커피 코리아 대전신탄진DT점,06:00~23:00,"시급9,000",5시간전
경북 구미시,스타벅스커피 코리아 구미인동점,06:30~24:00,"시급9,000",5시간전
대전 대덕구,스타벅스커피 코리아 대전IC DT점,05:30~24:00,"시급9,000",5시간전
제주 전체,제주협재,08:30~21:00,"시급9,000",5시간전
전남 목포시,스타벅스커피코리아 목포평화광장점,08:30~24:00,"시급9,000",6시간전
세종 전체,스타벅스커피 코리아 세종새롬,시간협의,"시급9,000",6시간전
경기 안양시,스타벅스커피 코리아 평촌역DT,07:00~23:00,"시급9,000",6시간전
세종 전체,스타벅스커피 코리아 세종이마트점,10:00~23:00,"시급9,000",6시간전
제주 전체,스타벅스커피 코리아 제주에듀시티,시간협의,"시급9,000",6시간전
광주 동구,스타벅스커피 코리아 충장일가점,08:00~23:00,"시급9,000",6시간전
경기 이천시,스타벅스커피 코리아 이천증포DT,06:30~24:00,"시급9,000",7시간전
대전 서구,스타벅스커피 코리아 대전탄방점,06:30~23:00,"시급9,000",7시간전
서울 양천구,스타벅스커피 코리아 평촌호계,07:30~23:00,"시급9,000",7시간전
제주 서귀포,스타벅스커피 코리아 제주에듀시티,시간협의,"시급9,000",7시간전
대전 서구,대전건양대병원,06:30~22:30,"시급9,000",19시간전
