place,title,time,pay,date
경기 광명시,아소비 광명지사,14:00~18:30,"월급2,000,000",3분전
부산 남구,아소비 부산남부지사,14:00~18:00,"월급1,600,000",3분전
경기 광명시,아소비 광명지사,14:00~18:30,"월급2,000,000",3분전
경기 광명시,아소비 광명지사,14:00~18:00,"월급2,000,000",4분전
경기 광명시,아소비 광명지사,14:00~18:00,"월급2,000,000",5분전
세종 전체,아소비 세종유성지사,14:00~18:00,"월급1,800,000",6분전
세종 전체,아소비 세종유성지사,14:00~18:00,"월급1,800,000",6분전
부산 남구,아소비 부산남부지사,14:00~18:00,"월급1,600,000",7분전
세종 전체,아소비 세종유성지사,14:00~18:00,"월급1,800,000",8분전
세종 전체,아소비 세종유성지사,14:00~18:00,"월급1,800,000",9분전
충북 청주시,아소비 청주지사,13:00~18:00,"월급2,000,000",17분전
강원 원주시,아소비 강원영서용인지사,13:30~18:00,"월급1,700,000",17분전
경기 용인시,아소비 강원영서용인지사,13:30~18:00,"월급1,700,000",17분전
경기 용인시,아소비 강원영서용인지사,13:30~18:00,"월급1,700,000",17분전
경기 용인시,아소비 강원영서용인지사,13:30~18:00,"월급1,700,000",17분전
충북 청주시,아소비 청주지사,13:00~18:00,"월급2,000,000",18분전
충북 청주시,아소비 청주지사,13:00~18:00,"월급2,000,000",20분전
충북 청주시,아소비 청주지사,13:00~18:00,"월급2,000,000",21분전
대구 북구,아소비 대구북구구미지사,13:00~18:30,"월급2,400,000",25분전
대구 북구,아소비 대구북구구미지사,13:00~18:30,"월급2,400,000",27분전
경북 예천군,아소비 대구북구구미지사,13:00~18:30,"월급2,400,000",31분전
대구 중구,아소비 대구북구구미지사,13:00~18:30,"월급2,400,000",32분전
경기 성남시,아소비 성남분당지사,02:00~06:00,"월급2,000,000",34분전
경기 성남시,아소비 성남분당지사,02:00~06:00,"월급2,000,000",37분전
경기 성남시,아소비 성남분당지사,02:00~06:00,"월급2,000,000",38분전
경기 성남시,아소비 성남분당지사,02:00~06:00,"월급2,000,000",39분전
충남 당진시,아소비 당진서산지사,13:00~19:00,"월급1,800,000",41분전
충남 서산시,아소비 당진서산지사,13:00~19:00,"월급1,800,000",41분전
충남 홍성군,아소비 당진서산지사,13:00~19:00,"월급1,800,000",41분전
충남 보령시,아소비 당진서산지사,01:30~07:30,"월급1,500,000",41분전
충남 아산시,아소비 천안아산지사,13:00~19:00,"월급1,800,000",42분전
충남 천안시,아소비 천안아산지사,13:00~19:00,"월급1,800,000",42분전
충남 아산시,아소비 천안아산지사,13:00~19:00,"월급1,800,000",42분전
충남 천안시,아소비 천안아산지사,13:00~19:00,"월급1,800,000",42분전
서울 노원구,아소비 동북지사(노원/중랑),14:00~18:00,"월급1,900,000",56분전
서울 노원구,아소비 동북지사(노원/중랑),14:00~18:00,"월급1,900,000",56분전
서울 노원구,아소비 동북지사(노원/중랑),14:00~18:00,"월급1,900,000",59분전
경기 고양시,아소비 고양파주지사,13:00~18:00,"월급1,900,000",59분전
서울 노원구,아소비 동북지사(노원/중랑),14:00~18:00,"월급1,900,000",1시간전
서울 중랑구,아소비 동북지사(노원/중랑),14:00~18:00,"월급1,900,000",1시간전
