place,title,time,pay,date
부산 전체,(유)아웃백스테이크하우스코리아 서면점,시간협의,"시급10,480",10분전
광주 서구,아웃백 스테이크하우스 광천점,10:00~23:00,"시급10,480",29분전
대구 전체,아웃백스테이크하우스코리아죽전점,14:00~23:30,"시급10,480",41분전
충남 천안시,아웃백스테이크하우스 펜타포트점,09:00~23:00,"시급10,480",48분전
경기 전체,아웃백 분당서현점,시간협의,"시급10,480",1시간전
경기 화성시,아웃백 동탄점,09:00~00:00,"시급10,320",1시간전
서울 전체,아웃백,11:30~22:00,"시급10,480",2시간전
경기 평택시,(유)아웃백스테이크하우스코리아,00:00~24:00,"시급10,480",2시간전
서울 전체,아웃백 코엑스점,12:00~20:00,"시급10,480",2시간전
경기 평택시,아웃백 스테이크하우스  평택점,10:00~21:00,"시급10,480",2시간전
경기 화성시,아웃백 동탄점,09:00~00:00,"시급10,320",2시간전
서울 양천구,아웃백 스테이크하우스 코리아 목동점,14:00~23:00,"시급10,480",2시간전
인천 계양구,아웃백 작전점,10:00~22:00,"시급9,430",2시간전
경기 수원시,아웃백 스테이크하우스 수원역사,09:00~24:00,"시급10,480",2시간전
서울 전체,아웃백,11:30~22:00,"시급10,480",3시간전
부산 수영구,(유)아웃백스테이크하우스코리아,12:00~20:00,"시급10,480",3시간전
경기 전체,아웃백 분당서현점,시간협의,"시급10,480",3시간전
경남 창원시,아웃백 창원중앙점,10:00~23:00,"시급10,480",3시간전
부산 수영구,아웃백스테이크하우스남천점,09:00~00:00,"시급10,480",4시간전
경기 평택시,(유)아웃백스테이크하우스코리아,00:00~24:00,"시급10,480",4시간전
서울 송파구,아웃백 스테이크하우스,10:00~23:00,"시급10,320",4시간전
서울 서초구,아웃백 스테이크하우스 센트럴시티점,09:00~23:00,"시급10,320",4시간전
경남 진주시,(유)아웃백스테이크하우스코리아,시간협의,"시급9,430",5시간전
경기 평택시,(유)아웃백스테이크하우스코리아,00:00~24:00,"시급10,480",10시간전
인천 부평구,아웃백 스테이크 하우스,시간협의,"시급10,480",19시간전
경기 평택시,아웃백 스테이크하우스  평택점,10:00~21:00,"시급10,480",20시간전
경기 수원시,아웃백 영통점,10:00~23:00,"시급10,480",21시간전
경기 평택시,(유)아웃백스테이크하우스코리아,00:00~24:00,"시급10,480",02/02
서울 전체,아웃백 코엑스점,12:00~20:00,"시급10,480",02/01
충남 천안시,아웃백스테이크하우스 펜타포트점,09:00~23:00,"시급10,480",02/01
서울 양천구,아웃백 스테이크하우스 코리아 목동점,14:00~23:00,"시급10,480",02/01
서울 전체,아웃백,11:30~22:00,"시급10,480",02/01
부산 사하구,아웃백스테이크 하우스 하단점,10:00~21:00,"시급10,320",02/01
경기 성남시,(유)아웃백스테이크하우스코리아,00:00~24:00,"시급10,480",02/01
경기 오산시,아웃백스테이크하우스,시간협의,"시급10,480",01/31
부산 수영구,(유)아웃백스테이크하우스코리아,12:00~20:00,"시급10,480",01/31
울산 남구,(유)아웃백스테이크하우스코리아,시간협의,"시급10,480",01/31
경기 수원시,아웃백 스테이크하우스 수원역사,09:00~24:00,"시급10,480",01/31
서울 서대문,유)아웃백스테이크하우스 신촌점,시간협의,"시급10,480",01/30
서울 영등포,(유)아웃백스테이크하우스코리아,12:00~22:00,"시급10,470",01/30
