place,title,time,pay,date
서울 관악구,아이스크림홈런 공부방 영등포지국,13:00~18:00,"월급1,800,000",27분전
서울 구로구,아이스크림홈런 공부방 영등포지국,13:00~18:00,"월급1,800,000",27분전
서울 강서구,아이스크림홈런 공부방 영등포지국,13:00~18:00,"월급1,800,000",27분전
경기 오산시,아이스크림홈런 공부방 성남지국,시간협의,"월급1,800,000",39분전
경북 구미시,아이스크림홈런 공부방 북대구지국,13:00~17:00,"월급1,800,000",2시간전
경북 구미시,아이스크림홈런 공부방 북대구지국,13:00~17:00,"월급1,800,000",2시간전
인천 서구,아이스크림홈런 공부방 북인천지국,13:00~19:00,"월급1,800,000",2시간전
인천 계양구,아이스크림홈런 공부방 북인천지국,13:00~19:00,"월급1,800,000",2시간전
경기 화성시,아이스크림홈런 공부방 오산지국,13:00~18:00,"월급1,800,000",6시간전
경기 오산시,아이스크림홈런 공부방 오산지국,13:00~18:00,"월급1,800,000",6시간전
경기 용인시,아이스크림홈런 공부방 오산지국,13:00~18:00,"월급1,800,000",6시간전
경기 안성시,아이스크림홈런 공부방 오산지국,13:00~18:00,"월급1,800,000",6시간전
전북 전주시,아이스크림홈런 공부방 전주지국,13:00~18:00,"월급2,000,000",7시간전
전북 정읍시,아이스크림홈런 공부방 전주지국,13:00~18:00,"월급2,000,000",7시간전
전북 완주군,아이스크림홈런 공부방 전주지국,13:00~18:00,"월급2,000,000",7시간전
전북 남원시,아이스크림홈런 공부방 전주지국,13:00~18:00,"건별2,000,000",7시간전
인천 남동구,아이스크림홈런 공부방 남인천지국,13:00~18:00,"월급1,800,000",7시간전
인천 부평구,아이스크림홈런 공부방 남인천지국,13:00~18:00,"월급1,800,000",7시간전
인천 연수구,아이스크림홈런 공부방 남인천지국,13:00~18:00,"월급1,800,000",7시간전
부산 동래구,아이스크림홈런 공부방 부산동부지국,13:30~18:30,"월급1,800,000",02/02
서울 금천구,아이스크림홈런 공부방 금천지국,13:00~18:00,"월급1,800,000",01/31
서울 금천구,아이스크림홈런 공부방 금천지국,13:00~18:00,"월급1,800,000",01/31
서울 금천구,아이스크림홈런 공부방 금천지국,13:00~18:00,"월급1,800,000",01/31
경남 김해시,아이스크림홈런 지사사업실 부산지사,11:00~19:00,"월급2,500,000",01/29
충북 청주시,아이스크림홈런 공부방 청주지국,13:00~18:00,"건별1,800,000",01/29
충북 청주시,아이스크림홈런 공부방 청주지국,13:00~18:00,"건별1,800,000",01/29
세종 전체,아이스크림홈런 공부방 청주지국,13:00~18:00,"건별1,800,000",01/29
충북 청주시,아이스크림홈런 공부방 청주지국,13:00~18:00,"건별1,800,000",01/29
서울 양천구,아이스크림홈런 공부방 은평지국,13:00~18:00,"월급1,800,000",01/29
경북 구미시,아이스크림홈런 공부방 북대구지국,13:00~17:00,"월급1,800,000",01/29
경북 구미시,아이스크림홈런 공부방 북대구지국,13:00~17:00,"월급1,800,000",01/29
인천 미추홀,아이스크림홈런 공부방 동인천지국,시간협의,"월급1,800,000",01/26
부산 강서구,아이스크림홈런 공부방 부산서부지국,13:00~18:00,"월급1,800,000",01/25
부산 강서구,아이스크림홈런 공부방 부산서부지국,13:00~18:00,"월급1,800,000",01/25
부산 부산진,아이스크림홈런 공부방 부산서부지국,13:00~18:00,"월급1,800,000",01/25
경기 수원시,아이스크림홈런 지사사업실 남동지사,11:00~19:00,"월급2,500,000",01/25
경기 화성시,아이스크림홈런 지사사업실 남동지사,11:00~19:00,"월급2,500,000",01/25
경기 수원시,아이스크림홈런 지사사업실 남동지사,11:00~19:00,"월급2,500,000",01/25
경기 용인시,아이스크림홈런 지사사업실 남동지사,11:00~18:30,"월급2,500,000",01/25
인천 연수구,아이스크림홈런 지사사업실 방문2센터,10:00~19:00,"월급3,500,000",01/24
