place,title,time,pay,date
서울 강남구,크리스피 크림 도넛 수서역사점,09:00~15:00,"시급8,720",25분전
서울 강남구,크리스피 크림 도넛 수서역사점,09:00~15:00,"시급8,720",25분전
부산 부산진,크리스피크림도넛  롯데백부산점,09:30~10:30,"시급8,720",56분전
경기 의정부,크리스피크림도넛 강남역점,10:00~21:00,"시급8,720",1시간전
광주 광산구,크리스피크림도넛 광주첨단점,07:00~15:00,"시급8,820",3시간전
광주 광산구,크리스피크림도넛 광주첨단점,22:00~07:00,"시급8,720",3시간전
경기 광명시,크리스피크림도넛  메세나폴리스점,09:30~15:00,"시급8,720",12시간전
서울 도봉구,크리스피크림도넛 강남역점,09:30~21:00,"시급8,720",16시간전
경기 남양주,크리스피크림도넛  건대스타시티점,09:30~15:30,"시급8,720",17시간전
경기 김포시,크리스피크림도넛  메세나폴리스점,09:30~22:00,"시급8,720",17시간전
경기 군포시,크리스피 크림 도넛 롯데피트인산본점,15:00~21:30,"시급8,720",18시간전
경기 군포시,크리스피 크림 도넛 롯데피트인산본점,15:00~21:30,"시급8,720",18시간전
대전 서구,크리스피크림도넛 대전둔산점,08:00~15:00,"시급8,720",19시간전
대전 서구,크리스피크림도넛 대전둔산점,15:00~22:00,"시급8,720",19시간전
서울 구로구,크리스피크림도넛  오목교점,10:00~21:30,"시급8,720",20시간전
경북 안동시,크리스피 크림 도넛 대구범어점,15:00~22:00,"시급8,720",20시간전
서울 강남구,크리스피크림도넛 강남역점,07:00~15:00,"시급8,720",22시간전
서울 관악구,크리스피 크림 도넛 서울대입구역점,16:00~21:00,"시급8,720",23시간전
서울 관악구,크리스피 크림 도넛 서울대입구역점,13:00~18:00,"시급8,720",23시간전
서울 관악구,크리스피 크림 도넛 서울대입구역점,13:00~18:00,"시급8,720",23시간전
광주 광산구,크리스피크림도넛 광주첨단점,07:00~15:00,"시급8,820",02/02
광주 광산구,크리스피크림도넛 광주첨단점,07:00~15:00,"시급8,820",02/02
광주 광산구,크리스피크림도넛 광주첨단점,22:00~07:00,"시급8,720",02/02
경기 부천시,크리스피크림도넛 부천 커미서리,24:00~24:00,"시급8,720",02/02
경기 의정부,크리스피크림도넛 강남역점,10:00~21:00,"시급8,720",01/29
경기 이천시,크리스피크림도넛  롯데이천아울렛점,13:00~21:00,"시급8,720",01/28
서울 강남구,크리스피크림도넛 강남역점,07:00~15:00,"시급8,720",01/28
경북 포항시,크리스피크림도넛  롯데포항점,14:30~20:00,"시급8,720",01/19
