place,title,time,pay,date
경기 안성시,주식회사 케이컴퍼니,10:00~20:00,"시급8,720",28분전
경기 용인시,주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",34분전
경기 용인시,주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",35분전
경기 의정부,케이컴퍼니,09:30~22:00,"월급2,500,000",57분전
경기 의정부,케이컴퍼니,10:00~20:00,"월급1,900,000",2시간전
경기 부천시,케이컴퍼니,10:00~20:00,"시급8,720",6시간전
세종 전체,주식회사 케이컴퍼니,11:00~21:00,"월급2,500,000",02/01
부산 기장군,주식회사 케이컴퍼니,10:00~20:30,"월급1,900,000",02/01
세종 새롬동,주식회사 케이컴퍼니,11:00~21:00,"월급2,500,000",02/01
부산 기장군,주식회사 케이컴퍼니,10:00~20:30,"월급1,900,000",02/01
부산 해운대,주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",02/01
대구 달서구,주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",01/23
