place,title,time,pay,date
인천 계양구,호치킨 작전점,19:00~01:30,"시급8,800",59분전
서울 은평구,호치킨 응암이마트점,18:00~24:00,"시급8,720",3시간전
경기 광주시,호치킨 광주장지e편한세상점,15:00~02:00,"월급2,600,000",6시간전
경기 광주시,호치킨 광주장지e편한세상점,15:00~02:00,"월급2,600,000",6시간전
경기 광주시,호치킨 광주장지e편한세상점,15:00~02:00,"월급2,600,000",6시간전
경기 광주시,호치킨 광주장지e편한세상점,15:00~02:00,"월급2,600,000",6시간전
경기 의정부,호치킨 회룡역점,18:00~00:30,"시급10,464",7시간전
경북 상주시,호치킨 호치킨 상주북천점,17:00~24:00,"시급8,720",01/31
경기 화성시,호치킨 동탄2신도시한백점,17:00~21:00,"시급9,000",01/24
경북 상주시,호치킨 호치킨 상주북천점,17:00~24:00,"시급8,720",01/24
인천 남동구,호치킨 서창2지구점(현-2),18:00~24:00,"시급8,720",01/23
인천 남동구,호치킨 관교점,14:00~01:00,"시급8,720",01/22
인천 남동구,호치킨 관교점,18:00~01:00,"시급8,720",01/22
인천 남동구,호치킨 관교점,18:00~01:00,"시급8,720",01/22
